Station;Altona-Elbhang;Altona-Elbhang;Altona-Elbhang
Messkomponente;Schwefeldioxid;Stickstoffdioxid;Stickstoffmonoxid
Einheit;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte

16.11.2019 19:00;7;33;15
16.11.2019 20:00;8;30;6
16.11.2019 21:00;10;26;5
16.11.2019 22:00;12;28;2
16.11.2019 23:00;12;35;7
17.11.2019 00:00;21;33;2
17.11.2019 01:00;3;30;2
17.11.2019 02:00;3;44;13
17.11.2019 03:00;3;41;9
17.11.2019 04:00;3;37;7
17.11.2019 05:00;3;32;12
17.11.2019 06:00;3;32;12
17.11.2019 07:00;3;32;9
17.11.2019 08:00;3;25;10
17.11.2019 09:00;3;27;20
17.11.2019 10:00;17;28;30
17.11.2019 11:00;37;32;47
17.11.2019 12:00;32;36;47
17.11.2019 13:00;8;43;47
17.11.2019 14:00;3;30;8
17.11.2019 15:00;3;33;6
17.11.2019 16:00;3;34;4
17.11.2019 17:00;3;33;2
17.11.2019 18:00;3;28;2
17.11.2019 19:00;3;23;2
17.11.2019 20:00;3;26;2
17.11.2019 21:00;3;19;2
17.11.2019 22:00;3;20;2
17.11.2019 23:00;3;16;2
18.11.2019 00:00;3;16;2
18.11.2019 01:00;3;13;2
18.11.2019 02:00;3;9;2
18.11.2019 03:00;3;9;2
18.11.2019 04:00;3;8;2
18.11.2019 05:00;3;11;2
18.11.2019 06:00;3;16;2
18.11.2019 07:00;3;34;25
18.11.2019 08:00;3;35;27
18.11.2019 09:00;3;29;23
18.11.2019 10:00;3;32;42
18.11.2019 11:00;3;32;41
18.11.2019 12:00;3;30;32
18.11.2019 13:00;3;31;33
18.11.2019 14:00;3;29;33
18.11.2019 15:00;3;28;23
18.11.2019 16:00;3;30;22
18.11.2019 17:00;3;26;9
18.11.2019 18:00;3;34;15
18.11.2019 19:00;3;37;21
18.11.2019 20:00;3;35;12
18.11.2019 21:00;3;32;10
18.11.2019 22:00;3;30;10
18.11.2019 23:00;3;31;9
19.11.2019 00:00;3;27;8
19.11.2019 01:00;3;27;10
19.11.2019 02:00;3;23;4
19.11.2019 03:00;3;24;12
19.11.2019 04:00;3;22;2
19.11.2019 05:00;3;24;4
19.11.2019 06:00;3;17;5
19.11.2019 07:00;3;40;18
19.11.2019 08:00;3;38;10
