Station;Hafen/Kl. Grasbrook;Hafen/Kl. Grasbrook;Hafen/Kl. Grasbrook
Messkomponente;Schwefeldioxid;Stickstoffdioxid;Stickstoffmonoxid
Einheit;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte

16.11.2019 19:00;3;21;2
16.11.2019 20:00;3;20;2
16.11.2019 21:00;6;24;2
16.11.2019 22:00;6;26;2
16.11.2019 23:00;7;26;2
17.11.2019 00:00;7;31;2
17.11.2019 01:00;3;24;2
17.11.2019 02:00;3;27;2
17.11.2019 03:00;3;25;2
17.11.2019 04:00;3;26;2
17.11.2019 05:00;3;21;2
17.11.2019 06:00;3;27;13
17.11.2019 07:00;3;26;8
17.11.2019 08:00;3;21;2
17.11.2019 09:00;3;24;15
17.11.2019 10:00;6;26;25
17.11.2019 11:00;3;18;10
17.11.2019 12:00;3;22;15
17.11.2019 13:00;3;27;15
17.11.2019 14:00;3;29;9
17.11.2019 15:00;3;32;5
17.11.2019 16:00;15;32;2
17.11.2019 17:00;6;35;2
17.11.2019 18:00;3;28;2
17.11.2019 19:00;12;22;2
17.11.2019 20:00;29;21;2
17.11.2019 21:00;28;18;2
17.11.2019 22:00;24;14;2
17.11.2019 23:00;12;14;2
18.11.2019 00:00;35;14;2
18.11.2019 01:00;10;11;2
18.11.2019 02:00;3;10;2
18.11.2019 03:00;3;10;2
18.11.2019 04:00;3;12;2
18.11.2019 05:00;3;14;2
18.11.2019 06:00;3;33;46
18.11.2019 07:00;3;40;61
18.11.2019 08:00;3;45;106
18.11.2019 09:00;3;33;74
18.11.2019 10:00;3;41;121
18.11.2019 11:00;3;36;79
18.11.2019 12:00;3;37;85
18.11.2019 13:00;3;35;85
18.11.2019 14:00;3;33;70
18.11.2019 15:00;3;32;60
18.11.2019 16:00;3;31;41
18.11.2019 17:00;3;36;64
18.11.2019 18:00;3;32;22
18.11.2019 19:00;3;31;17
18.11.2019 20:00;3;29;10
18.11.2019 21:00;3;25;8
18.11.2019 22:00;3;23;2
18.11.2019 23:00;3;24;2
19.11.2019 00:00;3;25;2
19.11.2019 01:00;3;24;2
19.11.2019 02:00;3;21;2
19.11.2019 03:00;3;16;2
19.11.2019 04:00;3;16;2
19.11.2019 05:00;3;17;2
19.11.2019 06:00;3;21;10
19.11.2019 07:00;3;40;22
