Station;Veddel;Veddel;Veddel
Messkomponente;Schwefeldioxid;Stickstoffdioxid;Stickstoffmonoxid
Einheit;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte

16.11.2019 19:00;3;24;2
16.11.2019 20:00;3;21;2
16.11.2019 21:00;3;19;2
16.11.2019 22:00;3;22;2
16.11.2019 23:00;3;26;2
17.11.2019 00:00;3;27;2
17.11.2019 01:00;3;26;2
17.11.2019 02:00;3;22;2
17.11.2019 03:00;3;21;2
17.11.2019 04:00;3;21;2
17.11.2019 05:00;3;26;7
17.11.2019 06:00;3;29;16
17.11.2019 07:00;15;30;16
17.11.2019 08:00;29;22;6
17.11.2019 09:00;8;26;19
17.11.2019 10:00;3;25;20
17.11.2019 11:00;3;28;27
17.11.2019 12:00;3;31;34
17.11.2019 13:00;3;33;36
17.11.2019 14:00;3;38;29
17.11.2019 15:00;3;42;27
17.11.2019 16:00;3;48;25
17.11.2019 17:00;3;47;24
17.11.2019 18:00;3;41;19
17.11.2019 19:00;3;40;17
17.11.2019 20:00;3;38;13
17.11.2019 21:00;3;30;8
17.11.2019 22:00;3;24;6
17.11.2019 23:00;3;24;5
18.11.2019 00:00;3;27;6
18.11.2019 01:00;3;23;2
18.11.2019 02:00;3;23;2
18.11.2019 03:00;3;21;2
18.11.2019 04:00;3;20;5
18.11.2019 05:00;3;26;10
18.11.2019 06:00;3;36;20
18.11.2019 07:00;3;46;68
18.11.2019 08:00;10;36;35
18.11.2019 09:00;3;29;22
18.11.2019 10:00;3;32;40
18.11.2019 11:00;3;33;47
18.11.2019 12:00;3;33;37
18.11.2019 13:00;3;29;29
18.11.2019 14:00;3;28;22
18.11.2019 15:00;3;28;20
18.11.2019 16:00;3;30;16
18.11.2019 17:00;3;28;12
18.11.2019 18:00;3;27;7
18.11.2019 19:00;3;32;8
18.11.2019 20:00;3;29;4
18.11.2019 21:00;3;26;2
18.11.2019 22:00;3;23;2
18.11.2019 23:00;3;24;2
19.11.2019 00:00;3;26;2
19.11.2019 01:00;3;24;2
19.11.2019 02:00;3;20;2
19.11.2019 03:00;3;14;2
19.11.2019 04:00;3;14;2
19.11.2019 05:00;3;12;2
19.11.2019 06:00;3;13;2
19.11.2019 07:00;3;22;2
19.11.2019 08:00;3;22;5
19.11.2019 09:00;3;24;6
