Station;Finkenwerder West;Finkenwerder West
Messkomponente;Stickstoffdioxid;Stickstoffmonoxid
Einheit;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte

16.11.2019 19:00;17;2
16.11.2019 20:00;15;2
16.11.2019 21:00;13;2
16.11.2019 22:00;16;2
16.11.2019 23:00;20;2
17.11.2019 00:00;18;2
17.11.2019 01:00;17;2
17.11.2019 02:00;14;2
17.11.2019 03:00;13;2
17.11.2019 04:00;11;2
17.11.2019 05:00;12;2
17.11.2019 06:00;18;2
17.11.2019 07:00;28;22
17.11.2019 08:00;30;33
17.11.2019 09:00;28;33
17.11.2019 10:00;29;66
17.11.2019 11:00;30;70
17.11.2019 12:00;35;87
17.11.2019 13:00;36;41
17.11.2019 14:00;38;29
17.11.2019 15:00;34;9
17.11.2019 16:00;34;6
17.11.2019 17:00;32;4
17.11.2019 18:00;25;2
17.11.2019 19:00;22;2
17.11.2019 20:00;23;5
17.11.2019 21:00;15;2
17.11.2019 22:00;17;2
17.11.2019 23:00;16;2
18.11.2019 00:00;16;2
18.11.2019 01:00;14;2
18.11.2019 02:00;17;2
18.11.2019 03:00;12;2
18.11.2019 04:00;13;2
18.11.2019 05:00;24;8
18.11.2019 06:00;26;5
18.11.2019 07:00;33;24
18.11.2019 08:00;26;2
18.11.2019 09:00;23;4
18.11.2019 10:00;19;6
18.11.2019 11:00;13;2
18.11.2019 12:00;14;8
18.11.2019 13:00;15;6
18.11.2019 14:00;14;5
18.11.2019 15:00;19;7
18.11.2019 16:00;19;4
18.11.2019 17:00;15;2
18.11.2019 18:00;13;2
18.11.2019 19:00;19;2
18.11.2019 20:00;16;2
18.11.2019 21:00;16;2
18.11.2019 22:00;16;2
18.11.2019 23:00;15;2
19.11.2019 00:00;18;2
19.11.2019 01:00;20;2
19.11.2019 02:00;17;2
19.11.2019 03:00;13;2
19.11.2019 04:00;9;2
19.11.2019 05:00;6;2
19.11.2019 06:00;6;2
19.11.2019 07:00;6;2
19.11.2019 08:00;8;2
19.11.2019 09:00;11;2
19.11.2019 10:00;10;2
19.11.2019 11:00;12;2
19.11.2019 12:00;9;2
19.11.2019 13:00;8;2
19.11.2019 14:00;11;2
19.11.2019 15:00;17;2
19.11.2019 16:00;16;2
19.11.2019 17:00;19;2
19.11.2019 18:00;16;2
19.11.2019 19:00;19;2
19.11.2019 20:00;17;2
19.11.2019 21:00;17;2
19.11.2019 22:00;16;2
19.11.2019 23:00;14;2
20.11.2019 00:00;13;2
20.11.2019 01:00;11;2
20.11.2019 02:00;11;2
20.11.2019 03:00;10;2
20.11.2019 04:00;10;2
20.11.2019 05:00;10;2
20.11.2019 06:00;13;2
20.11.2019 07:00;12;2
20.11.2019 08:00;19;2
20.11.2019 09:00;22;2
20.11.2019 10:00;42;12
20.11.2019 11:00;46;19
20.11.2019 12:00;45;22
20.11.2019 13:00;45;26
20.11.2019 14:00;43;23
20.11.2019 15:00;49;35
20.11.2019 16:00;50;38
20.11.2019 17:00;51;19
20.11.2019 18:00;52;18
20.11.2019 19:00;43;6
20.11.2019 20:00;38;5
20.11.2019 21:00;35;2
20.11.2019 22:00;33;2
20.11.2019 23:00;40;5
21.11.2019 00:00;37;2
21.11.2019 01:00;34;2
21.11.2019 02:00;29;2
21.11.2019 03:00;26;2
21.11.2019 04:00;30;2
21.11.2019 05:00;39;22
21.11.2019 06:00;37;21
21.11.2019 07:00;39;20
21.11.2019 08:00;40;23
21.11.2019 09:00;42;35
21.11.2019 10:00;41;15
21.11.2019 11:00;40;34
21.11.2019 12:00;35;33
21.11.2019 13:00;33;43
21.11.2019 14:00;33;50
21.11.2019 15:00;32;52
21.11.2019 16:00;31;41
21.11.2019 17:00;33;34
21.11.2019 18:00;32;35
21.11.2019 19:00;31;36
21.11.2019 20:00;27;24
21.11.2019 21:00;23;9
21.11.2019 22:00;23;10
21.11.2019 23:00;20;7
22.11.2019 00:00;18;2
22.11.2019 01:00;17;2
22.11.2019 02:00;19;2
22.11.2019 03:00;18;2
22.11.2019 04:00;19;2
22.11.2019 05:00;21;2
22.11.2019 06:00;21;6
22.11.2019 07:00;23;12
22.11.2019 08:00;25;24
22.11.2019 09:00;25;22
22.11.2019 10:00;25;31
22.11.2019 11:00;27;48
22.11.2019 12:00;27;61
22.11.2019 13:00;23;29
22.11.2019 14:00;24;18
22.11.2019 15:00;29;22
22.11.2019 16:00;32;15
22.11.2019 17:00;31;10
22.11.2019 18:00;26;2
22.11.2019 19:00;28;7
22.11.2019 20:00;29;10
22.11.2019 21:00;30;5
22.11.2019 22:00;28;2
22.11.2019 23:00;25;2
23.11.2019 00:00;19;2
23.11.2019 01:00;23;2
23.11.2019 02:00;23;2
23.11.2019 03:00;24;2
23.11.2019 04:00;20;2
23.11.2019 05:00;18;2
23.11.2019 06:00;18;2
23.11.2019 07:00;21;2
23.11.2019 08:00;23;2
23.11.2019 09:00;19;2
23.11.2019 10:00;19;2
23.11.2019 11:00;21;8
23.11.2019 12:00;23;14
23.11.2019 13:00;22;14
23.11.2019 14:00;22;12
23.11.2019 15:00;23;7
23.11.2019 16:00;28;9
23.11.2019 17:00;30;7
23.11.2019 18:00;27;5
23.11.2019 19:00;29;7
